2026-05-15 23:24:28.577 [info] Starting Excalidraw MCP server...
2026-06-11 09:04:27.881 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.882 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.882 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.883 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.883 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.884 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.884 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.885 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.885 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.886 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.886 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.887 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.887 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.888 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.889 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.889 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.891 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.892 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.894 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.894 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.895 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.896 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.896 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.897 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.897 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.898 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.898 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.899 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.899 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.899 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.900 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.900 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.901 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.901 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.902 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.902 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.903 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.903 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.904 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.905 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.905 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.906 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.906 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.908 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.909 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.910 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.911 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.911 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.912 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.913 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.913 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.914 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.914 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.915 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.915 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.916 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.916 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.916 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.917 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.917 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.918 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.918 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.919 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.919 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.920 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.921 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.921 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.921 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.922 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.923 [error] Uncaught exception: EPIPE: broken pipe, write
